time,GHB_2_6_10,GHB_3_6_10,ESTUARY2,ESTUARY3
11.66666666667,-281.6465921171937,-6209.490184775276,-2751.802191667003,-75322.29652659224
11.75000000000,-303.5895925611883,-6892.683747771862,-3081.667632021819,-85579.76452926479
11.83333333333,-308.4454700713752,-6771.686246541251,-3154.968211626032,-83771.94125205648
11.91666666667,-288.9553869659133,-5839.395620735278,-2862.334667985108,-69788.49227068669
12.00000000000,-264.3646262212876,-5035.575063299513,-2492.699762064727,-57726.90644474370
12.08333333333,-257.4026550862656,-5097.806318631641,-2387.713716255810,-58656.10405003642
12.16666666667,-274.6667581732781,-5973.944868916444,-2646.843649484256,-71798.69916003171
12.25000000000,-298.2415472710139,-6774.714547008294,-3001.144854142817,-83815.27727005699
12.33333333333,-306.5988001752876,-6792.773772684084,-3127.034758164226,-84091.21047664028
12.41666666667,-291.7061344490443,-6003.494721159062,-2903.508284233789,-72252.48721709932
12.50000000000,-269.3896227109033,-5223.446483454014,-2568.111314259243,-60547.62273513867
12.58333333333,-260.0298377523181,-5141.740194550908,-2427.154424459111,-59317.36796819029
12.66666666667,-274.6430582881021,-5923.157392917362,-2646.447648380934,-71038.29820975698
12.75000000000,-298.0508468229937,-6749.512447246558,-2998.202460984511,-83438.01166721253
12.83333333333,-276.6099697509702,-5604.306619859403,-2676.378970584575,-66259.39912726774
12.91666666667,-298.3537966894736,-6618.263789092845,-3002.909093960369,-81471.50318833187
13.00000000000,-271.9722930281757,-5361.720060597722,-2606.743607206791,-62620.92835502529
13.08333333333,-256.8814199956586,-5010.597500956173,-2379.753844524692,-57349.28595085601
13.16666666667,-267.9993689199283,-5701.669363231844,-2546.487898956570,-67714.10349544974
13.25000000000,-291.9822861809020,-6604.592931298578,-2906.821452259770,-81261.79621433484
13.33333333333,-307.0317504024812,-6909.824941826377,-3133.222586931477,-85845.80356342289
13.41666666667,-297.8248327460266,-6275.593768064684,-2995.190544668122,-76334.25419229007
13.50000000000,-275.5120068666958,-5407.033144760951,-2659.947977982665,-63302.67739535354
13.58333333333,-260.0519442916931,-5053.755821589377,-2427.377950463952,-57998.31449340815
13.66666666667,-268.5337555689366,-5651.956970640273,-2554.490057201245,-66969.42468424632
13.75000000000,-291.6162419750391,-6555.138716056870,-2901.256111107640,-80520.40641080987
13.83333333333,-308.8920738381755,-6971.202273202398,-3161.079625954741,-86766.92737430286
13.91666666667,-302.6260666150894,-6435.516196916875,-3067.249474418059,-78734.16592198263
14.00000000000,-277.9604493888563,-5434.818174127284,-2696.701189861674,-63720.55747668915
14.08333333333,-258.0462363278000,-4920.773873019734,-2397.198178602023,-56003.85531258449
14.16666666667,-262.3219427864586,-5409.571660698659,-2461.055223061023,-63332.57503772314
14.25000000000,-285.1832503283641,-6372.632045735860,-2804.420692784470,-77780.82417255206
14.33333333333,-304.9067348208176,-6912.388667030802,-3100.984359441622,-85882.66260745101
14.41666666667,-302.8078325926762,-6524.006271139308,-3069.778684321087,-80060.22316724219
14.50000000000,-281.8726173598873,-5617.492898885086,-2755.335482001984,-66460.59156673941
14.58333333333,-262.6338052546581,-5068.726987446209,-2466.049698624737,-58223.96660750524
14.66666666667,-263.5254962354981,-5394.301798211731,-2479.100595831343,-63104.26910935061
14.75000000000,-284.9438551876389,-6328.227082247475,-2800.759011793731,-77115.08843074538
14.83333333333,-305.7096573484606,-6933.369415935478,-3112.953801736022,-86197.62737130426
14.91666666667,-307.2038776786595,-6682.424589872595,-3135.734116214497,-82437.37383179352
15.00000000000,-285.3808902248434,-5697.583907403047,-2807.998681628287,-67663.14955376559
15.08333333333,-261.9629460464093,-4980.337253930561,-2455.931584307895,-56898.73938449605
15.16666666667,-258.4338180397181,-5178.502970004498,-2402.512980158579,-59866.68359590206
15.25000000000,-278.1572606772353,-6112.866268440373,-2698.630917975086,-73882.96328252576
15.33333333333,-300.7893795505362,-6835.215718661956,-3038.814140487476,-84723.27331892998
15.41666666667,-305.9592627238042,-6724.195987102599,-3116.821131172739,-83062.41838186582
15.50000000000,-288.5312640879244,-5869.942758672240,-2855.163967624922,-70248.18047293513
15.58333333333,-266.9179818365468,-5158.508275066816,-2530.284049287684,-59572.05539050753
15.66666666667,-260.6927165492351,-5206.401869335519,-2436.409739052151,-60286.11303879281
